"Id","variable","Capacity","Capacity_Content","weight","median","q17","q83","mean"
"Africa","PR",88.49,27.637864,0.461684345638066,3.12119885174914,3.01702297590399,3.29942038742817,3.20176696723017
"Africa","Ore",88.49,27.637864,0.461684345638066,3.73142413330607,3.60158302892096,5.38026500410394,5.09730306682706
"Africa","Waste",88.49,27.637864,0.461684345638066,0.505617681693163,0.381792623240972,1.94593124288095,1.89553609959688
"Africa","P2O5_Loss",88.49,27.637864,0.461684345638066,0.103866971589743,0.0337465669287607,0.351412266686184,0.241338463204276
"Africa","GHG_kg",88.49,27.637864,0.461684345638066,174.044815849795,167.98863721796,250.95170058642,215.724410812147
"East Asia","PR",7.7,2.33904,0.03907314081223,3.2258064516129,3.2258064516129,3.31678468866162,3.29194883370956
"East Asia","Ore",7.7,2.33904,0.03907314081223,6.88314329214369,5.36292523974957,7.69427672089414,7.57919497377035
"East Asia","Waste",7.7,2.33904,0.03907314081223,3.53533375127826,1.8931126096316,4.41156362060031,4.28724614006079
"East Asia","P2O5_Loss",7.7,2.33904,0.03907314081223,0.277661010721407,0.126750592871385,0.358181357438824,0.346757315658757
"East Asia","GHG_kg",7.7,2.33904,0.03907314081223,321.050452575458,250.142921957639,358.884149092665,353.51639116157
"Eastern Europe And Central Asia","PR",18.9,6.0695,0.101389641972702,2.56410256410256,2.56410256410256,3.03505834976989,3.11393030727408
"Eastern Europe And Central Asia","Ore",18.9,6.0695,0.101389641972702,7.20344152296502,5.9116319813233,11.2630167307637,10.0619562029199
"Eastern Europe And Central Asia","Waste",18.9,6.0695,0.101389641972702,5.96309738899637,4.23875341541103,6.49077079557658,6.94802589564585
"Eastern Europe And Central Asia","P2O5_Loss",18.9,6.0695,0.101389641972702,0.114854076691532,0.0525087414457943,0.18145168348912,0.159805031565914
"Eastern Europe And Central Asia","GHG_kg",18.9,6.0695,0.101389641972702,155.350185738878,155.350185738878,253.337369624294,233.281108484832
"Latin America","PR",15.3,4.9705,0.0830310924170554,2.87770379939713,2.80153979880106,3.36236445772668,3.07816115078966
"Latin America","Ore",15.3,4.9705,0.0830310924170554,10.4711374228039,7.70687352127718,16.7157467047771,12.8436584610703
"Latin America","Waste",15.3,4.9705,0.0830310924170554,7.39098769460951,4.36458733262858,13.8618773443993,9.7654973102806
"Latin America","P2O5_Loss",15.3,4.9705,0.0830310924170554,0.631703907082283,0.418470155562724,0.721186358808085,0.651459944703042
"Latin America","GHG_kg",15.3,4.9705,0.0830310924170554,343.287645918686,189.523899783949,442.664736669055,331.224104959932
"North America","PR",30.54,9.083563,0.15173889124417,3.45238095238095,2.65806961786355,3.56570057640913,3.36211682574338
"North America","Ore",30.54,9.083563,0.15173889124417,11.5687035191679,5.3000483142254,13.7713472793083,11.4123941707924
"North America","Waste",30.54,9.083563,0.15173889124417,8.11632256678696,1.8051575099665,10.7489395213019,8.05027734504898
"North America","P2O5_Loss",30.54,9.083563,0.15173889124417,0.291590925737267,0.0641890145646981,0.337125556634526,0.30628361702275
"North America","GHG_kg",30.54,9.083563,0.15173889124417,346.321871323557,234.826341549566,578.926405781912,460.697639969982
"Oceania","PR",2.2,0.5984,0.00999613835677818,3.67647058823529,3.67647058823529,3.67647058823529,3.67647058823529
"Oceania","Ore",2.2,0.5984,0.00999613835677818,4.25531914893617,4.25531914893617,4.25531914893617,4.25531914893617
"Oceania","Waste",2.2,0.5984,0.00999613835677818,0.578848560700876,0.578848560700876,0.578848560700876,0.578848560700876
"Oceania","P2O5_Loss",2.2,0.5984,0.00999613835677818,0,0,0,0
"Oceania","GHG_kg",2.2,0.5984,0.00999613835677818,198.48085106383,198.48085106383,198.48085106383,198.48085106383
"South Asia","PR",1.5,0.38085,0.00636201419314667,3.93855848759354,3.93855848759354,3.93855848759354,3.93855848759354
"South Asia","Ore",1.5,0.38085,0.00636201419314667,6.68685651543895,6.68685651543895,6.68685651543895,6.68685651543895
"South Asia","Waste",1.5,0.38085,0.00636201419314667,2.74829802784541,2.74829802784541,2.74829802784541,2.74829802784541
"South Asia","P2O5_Loss",1.5,0.38085,0.00636201419314667,0.0698970424702317,0.0698970424702317,0.0698970424702317,0.0698970424702317
"South Asia","GHG_kg",1.5,0.38085,0.00636201419314667,311.895048449619,311.895048449619,311.895048449619,311.895048449619
"West Asia","PR",26.32,8.3944,0.140226577242879,3.125,3.125,3.125,3.13542361574383
"West Asia","Ore",26.32,8.3944,0.140226577242879,7.02011708704378,5.24234775283683,8.19170112112174,7.20173446417826
"West Asia","Waste",26.32,8.3944,0.140226577242879,3.89511708704378,2.0852183159077,5.06670112112174,4.06631084843443
"West Asia","P2O5_Loss",26.32,8.3944,0.140226577242879,0.444294457274827,0.273131225436891,0.93868078966228,0.690762093992332
"West Asia","GHG_kg",26.32,8.3944,0.140226577242879,327.439321290983,244.518826235568,382.085515392481,335.910500612667
"West Europe","PR",1,0.389,0.00649815812297245,2.5706940874036,2.5706940874036,2.5706940874036,2.5706940874036
