"Id","variable","Capacity","Capacity_Content","weight","median","q17","q83","q05","q95"
"World","G_Ore",191.95,59.863117,1,24.55,10.6925791556196,28.7558796967082,6.92338635753086,29.6111156646446
"World","G_PR",191.95,59.863117,1,30.875,28.8224335503177,35.6420090614525,27.0128376462233,38.9192130674764
"World","G_Mineral",191.95,59.863117,1,37.0100133002372,36.6825300373281,40.3540114454791,35.02051645416,42.0330870126876
"World","G_Gain",191.95,59.863117,1,5.75,2.46414746246189,20.3690744814815,0.428696090850699,29.8010728148148
"World","G_Potential",191.95,59.863117,1,5.79150752966311,4.82621470735803,8.520671539099,1.28645199617038,11.1782457128563
"World","R_mass",191.95,59.863117,1,0.54,0.250711502338739,0.856771548095825,0.149375865492228,0.865576257940043
"World","R_mineral",191.95,59.863117,1,0.842369047619048,0.634186258923293,0.952639323729158,0.418844694679806,0.95821760992545
"World","G_Waste",191.95,59.863117,1,8.32487484235869,2.93061800349835,21.3585120270935,0.758857147724511,23.3015878195206
"World - sedimentary","G_Ore",163.14,49.080889,0.819885289300923,25.875,16.5213410479271,29.0688772049243,9.5,29.6657501342421
"World - sedimentary","G_PR",163.14,49.080889,0.819885289300923,30.875,28.582680569389,31.5021710444772,26.5874783757501,33.1562385473901
"World - sedimentary","G_Mineral",163.14,49.080889,0.819885289300923,37.0100133002372,36.3915571259171,38.7284488466625,34.8523013538412,41.0249494032202
"World - sedimentary","G_Gain",163.14,49.080889,0.819885289300923,4.345,1.66731854086022,13.3864664772727,0.332508644376249,18.0282539668367
"World - sedimentary","G_Potential",163.14,49.080889,0.819885289300923,6.01001330023722,5.07625294372759,8.72756970746887,3.47533443319996,11.2032852310446
"World - sedimentary","R_mass",163.14,49.080889,0.819885289300923,0.6355,0.34834477957335,0.864026363419716,0.250195438534074,0.865732421088437
"World - sedimentary","R_mineral",163.14,49.080889,0.819885289300923,0.838452380952381,0.650721187653552,0.949742910153099,0.384172518931942,0.95841011673412
"World - sedimentary","G_Waste",163.14,49.080889,0.819885289300923,9.37439840838755,3.44299371048344,21.4782297364503,2.81751006536138,23.4447224311351
"World - igneous","G_Ore",28.81,10.782228,0.180114710699077,11.9,6.79705516062176,12.9276644405244,4.93368230694037,18.330732
"World - igneous","G_PR",28.81,10.782228,0.180114710699077,37.39,35.0917150324675,38.9505268890688,34.6784058789625,38.9854490850202
"World - igneous","G_Mineral",28.81,10.782228,0.180114710699077,40.83,40.317335745749,42.1954550571947,39.6735544731183,42.3640263288889
"World - igneous","G_Gain",28.81,10.782228,0.180114710699077,25.9,21.6407456734694,30.421765498138,15.9196746666667,31.5527774559586
"World - igneous","G_Potential",28.81,10.782228,0.180114710699077,4.18493075881894,1.36,5.10026982897963,1.36,6.45310125
"World - igneous","R_mass",28.81,10.782228,0.180114710699077,0.235,0.138127857893891,0.275806242845136,0.11007573998045,0.403584834444445
"World - igneous","R_mineral",28.81,10.782228,0.180114710699077,0.845916666666667,0.610048753624284,0.86384120084709,0.475000481467196,0.923663131943759
"World - igneous","G_Waste",28.81,10.782228,0.180114710699077,2.37098029764748,0.761178673193491,6.38852511209948,0.426829268292682,7.69616303972267
